,diff,lag_1,lag_2,lag_3,lag_4,lag_5,Extreme Fear,Extreme Greed,Fear,Greed,Neutral,feargreed
261,157.70000000000073,-53.20000000000073,85.89999999999964,126.40000000000146,224.89999999999964,-45.600000000000364,0,0,0,1,0,55
262,228.39999999999964,157.70000000000073,-53.20000000000073,85.89999999999964,126.40000000000146,224.89999999999964,0,0,0,1,0,55
263,1090.2999999999993,228.39999999999964,157.70000000000073,-53.20000000000073,85.89999999999964,126.40000000000146,0,0,0,1,0,58
264,-114.29999999999927,1090.2999999999993,228.39999999999964,157.70000000000073,-53.20000000000073,85.89999999999964,0,1,0,0,0,76
265,197.39999999999964,-114.29999999999927,1090.2999999999993,228.39999999999964,157.70000000000073,-53.20000000000073,0,0,0,1,0,71
266,-9.699999999998909,197.39999999999964,-114.29999999999927,1090.2999999999993,228.39999999999964,157.70000000000073,0,1,0,0,0,76
267,237.1999999999989,-9.699999999998909,197.39999999999964,-114.29999999999927,1090.2999999999993,228.39999999999964,0,0,0,1,0,75
268,469.7000000000007,237.1999999999989,-9.699999999998909,197.39999999999964,-114.29999999999927,1090.2999999999993,0,0,0,1,0,75
269,-736.3000000000011,469.7000000000007,237.1999999999989,-9.699999999998909,197.39999999999964,-114.29999999999927,0,1,0,0,0,80
270,157.60000000000036,-736.3000000000011,469.7000000000007,237.1999999999989,-9.699999999998909,197.39999999999964,0,0,0,1,0,75
271,-39.69999999999891,157.60000000000036,-736.3000000000011,469.7000000000007,237.1999999999989,-9.699999999998909,0,0,0,1,0,72
272,550.3999999999996,-39.69999999999891,157.60000000000036,-736.3000000000011,469.7000000000007,237.1999999999989,0,0,0,1,0,75
273,22.0,550.3999999999996,-39.69999999999891,157.60000000000036,-736.3000000000011,469.7000000000007,0,1,0,0,0,79
274,-165.10000000000036,22.0,550.3999999999996,-39.69999999999891,157.60000000000036,-736.3000000000011,0,1,0,0,0,77
275,172.29999999999927,-165.10000000000036,22.0,550.3999999999996,-39.69999999999891,157.60000000000036,0,1,0,0,0,77
276,-83.09999999999854,172.29999999999927,-165.10000000000036,22.0,550.3999999999996,-39.69999999999891,0,1,0,0,0,79
277,208.0,-83.09999999999854,172.29999999999927,-165.10000000000036,22.0,550.3999999999996,0,1,0,0,0,78
278,-498.8000000000011,208.0,-83.09999999999854,172.29999999999927,-165.10000000000036,22.0,0,1,0,0,0,84
279,166.8000000000011,-498.8000000000011,208.0,-83.09999999999854,172.29999999999927,-165.10000000000036,0,0,0,1,0,75
280,213.6999999999989,166.8000000000011,-498.8000000000011,208.0,-83.09999999999854,172.29999999999927,0,0,0,1,0,75
281,-20.100000000000364,213.6999999999989,166.8000000000011,-498.8000000000011,208.0,-83.09999999999854,0,1,0,0,0,78
282,94.5,-20.100000000000364,213.6999999999989,166.8000000000011,-498.8000000000011,208.0,0,1,0,0,0,79
283,53.70000000000073,94.5,-20.100000000000364,213.6999999999989,166.8000000000011,-498.8000000000011,0,1,0,0,0,82
284,383.60000000000036,53.70000000000073,94.5,-20.100000000000364,213.6999999999989,166.8000000000011,0,1,0,0,0,83
285,-335.0,383.60000000000036,53.70000000000073,94.5,-20.100000000000364,213.6999999999989,0,1,0,0,0,82
286,-197.39999999999964,-335.0,383.60000000000036,53.70000000000073,94.5,-20.100000000000364,0,1,0,0,0,80
287,106.69999999999891,-197.39999999999964,-335.0,383.60000000000036,53.70000000000073,94.5,0,0,0,1,0,75
288,-327.6999999999989,106.69999999999891,-197.39999999999964,-335.0,383.60000000000036,53.70000000000073,0,1,0,0,0,81
289,132.09999999999854,-327.6999999999989,106.69999999999891,-197.39999999999964,-335.0,383.60000000000036,0,1,0,0,0,78
290,-19.69999999999891,132.09999999999854,-327.6999999999989,106.69999999999891,-197.39999999999964,-335.0,0,1,0,0,0,76
291,111.89999999999964,-19.69999999999891,132.09999999999854,-327.6999999999989,106.69999999999891,-197.39999999999964,0,1,0,0,0,78
292,-428.7000000000007,111.89999999999964,-19.69999999999891,132.09999999999854,-327.6999999999989,106.69999999999891,0,0,0,1,0,75
293,137.5,-428.7000000000007,111.89999999999964,-19.69999999999891,132.09999999999854,-327.6999999999989,0,1,0,0,0,76
294,-134.89999999999964,137.5,-428.7000000000007,111.89999999999964,-19.69999999999891,132.09999999999854,0,0,0,1,0,75
295,200.0,-134.89999999999964,137.5,-428.7000000000007,111.89999999999964,-19.69999999999891,0,0,0,1,0,74
296,-59.29999999999927,200.0,-134.89999999999964,137.5,-428.7000000000007,111.89999999999964,0,1,0,0,0,79
297,233.89999999999964,-59.29999999999927,200.0,-134.89999999999964,137.5,-428.7000000000007,0,0,0,1,0,75
298,-57.79999999999927,233.89999999999964,-59.29999999999927,200.0,-134.89999999999964,137.5,0,0,0,1,0,75
299,270.6999999999989,-57.79999999999927,233.89999999999964,-59.29999999999927,200.0,-134.89999999999964,0,0,0,1,0,75
300,-501.60000000000036,270.6999999999989,-57.79999999999927,233.89999999999964,-59.29999999999927,200.0,0,1,0,0,0,83
301,-1244.5,-501.60000000000036,270.6999999999989,-57.79999999999927,233.89999999999964,-59.29999999999927,0,1,0,0,0,79
302,303.7000000000007,-1244.5,-501.60000000000036,270.6999999999989,-57.79999999999927,233.89999999999964,0,0,1,0,0,40
303,-380.2999999999993,303.7000000000007,-1244.5,-501.60000000000036,270.6999999999989,-57.79999999999927,0,0,1,0,0,41
304,204.1999999999989,-380.2999999999993,303.7000000000007,-1244.5,-501.60000000000036,270.6999999999989,0,0,1,0,0,41
305,80.5,204.1999999999989,-380.2999999999993,303.7000000000007,-1244.5,-501.60000000000036,0,0,1,0,0,41
306,-250.29999999999927,80.5,204.1999999999989,-380.2999999999993,303.7000000000007,-1244.5,0,0,1,0,0,41
307,98.0,-250.29999999999927,80.5,204.1999999999989,-380.2999999999993,303.7000000000007,0,0,1,0,0,38
308,115.10000000000036,98.0,-250.29999999999927,80.5,204.1999999999989,-380.2999999999993,0,0,1,0,0,38
309,50.5,115.10000000000036,98.0,-250.29999999999927,80.5,204.1999999999989,0,0,1,0,0,41
310,51.69999999999891,50.5,115.10000000000036,98.0,-250.29999999999927,80.5,0,0,1,0,0,41
311,-115.89999999999964,51.69999999999891,50.5,115.10000000000036,98.0,-250.29999999999927,0,0,1,0,0,38
312,349.2999999999993,-115.89999999999964,51.69999999999891,50.5,115.10000000000036,98.0,0,0,1,0,0,39
313,110.0,349.2999999999993,-115.89999999999964,51.69999999999891,50.5,115.10000000000036,0,0,0,0,1,47
314,164.20000000000073,110.0,349.2999999999993,-115.89999999999964,51.69999999999891,50.5,0,0,1,0,0,43
315,-8.200000000000728,164.20000000000073,110.0,349.2999999999993,-115.89999999999964,51.69999999999891,0,0,0,0,1,48
316,-8.299999999999272,-8.200000000000728,164.20000000000073,110.0,349.2999999999993,-115.89999999999964,0,0,0,0,1,49
317,148.79999999999927,-8.299999999999272,-8.200000000000728,164.20000000000073,110.0,349.2999999999993,0,0,0,0,1,48
318,-160.29999999999927,148.79999999999927,-8.299999999999272,-8.200000000000728,164.20000000000073,110.0,0,0,0,0,1,52
319,-504.7000000000007,-160.29999999999927,148.79999999999927,-8.299999999999272,-8.200000000000728,164.20000000000073,0,0,0,0,1,48
320,114.70000000000073,-504.7000000000007,-160.29999999999927,148.79999999999927,-8.299999999999272,-8.200000000000728,0,0,1,0,0,39
321,-294.2000000000007,114.70000000000073,-504.7000000000007,-160.29999999999927,148.79999999999927,-8.299999999999272,0,0,1,0,0,43
322,502.10000000000036,-294.2000000000007,114.70000000000073,-504.7000000000007,-160.29999999999927,148.79999999999927,0,0,1,0,0,39
323,-50.600000000000364,502.10000000000036,-294.2000000000007,114.70000000000073,-504.7000000000007,-160.29999999999927,0,0,1,0,0,46
324,39.100000000000364,-50.600000000000364,502.10000000000036,-294.2000000000007,114.70000000000073,-504.7000000000007,0,0,1,0,0,45
325,48.30000000000109,39.100000000000364,-50.600000000000364,502.10000000000036,-294.2000000000007,114.70000000000073,0,0,0,0,1,47
326,-83.0,48.30000000000109,39.100000000000364,-50.600000000000364,502.10000000000036,-294.2000000000007,0,0,1,0,0,43
327,147.6999999999989,-83.0,48.30000000000109,39.100000000000364,-50.600000000000364,502.10000000000036,0,0,1,0,0,45
328,-64.79999999999927,147.6999999999989,-83.0,48.30000000000109,39.100000000000364,-50.600000000000364,0,0,0,0,1,49
